user_id,firstName,lastName,email,sex,age,country,dateCreated,TestGroup,Invided_By_ID
0,Glokira,Kyris,Glokira.Kyris@upc.edu,F,35,Norway,"2020-01-02 00:00:00",A,-1
1,Erodil,Beran,Erodil.Beran@upc.edu,M,31,Norway,"2020-01-02 00:00:00",A,-1
2,Bethisera,Bethenen,Bethisera.Bethenen@upc.edu,F,32,Norway,"2020-01-03 00:00:00",A,-1
3,Elygawen,Edralian,Elygawen.Edralian@upc.edu,F,29,Norway,"2020-01-03 00:00:00",B,-1
4,Beriyaldir,Edressar,Beriyaldir.Edressar@upc.edu,M,32,Norway,"2020-01-04 00:00:00",A,-1
5,Dagygovon,Manor,Dagygovon.Manor@upc.edu,M,19,Norway,"2020-01-04 00:00:00",A,-1
6,Layedhethra,Arelu,Layedhethra.Arelu@upc.edu,F,37,Norway,"2020-01-05 00:00:00",A,-1
7,Hanedunaran,Ianor,Hanedunaran.Ianor@upc.edu,M,34,Norway,"2020-01-05 00:00:00",B,-1
8,Islaldamina,Karan,Islaldamina.Karan@upc.edu,F,21,Bulgaria,"2020-01-08 00:00:00",A,-1
9,Gorakalthogorn,Aror,Gorakalthogorn.Aror@upc.edu,M,27,Bulgaria,"2020-01-08 00:00:00",B,-1
10,Islyrelaith,Miralis,Islyrelaith.Miralis@upc.edu,F,36,Bulgaria,"2020-01-08 00:00:00",A,-1
11,Gilyromidin,Vanai,Gilyromidin.Vanai@upc.edu,M,32,Bulgaria,"2020-01-08 00:00:00",A,-1
12,Delorim,Tsiris,Delorim.Tsiris@upc.edu,M,31,Bulgaria,"2020-01-08 00:00:00",A,-1
13,Emotta,Varen,Emotta.Varen@upc.edu,F,34,Bulgaria,"2020-01-08 00:00:00",A,-1
14,Armurabers,Mireo,Armurabers.Mireo@upc.edu,M,29,Bulgaria,"2020-01-08 00:00:00",B,-1
15,Gilitir,Karessian,Gilitir.Karessian@upc.edu,M,25,Bulgaria,"2020-01-08 00:00:00",B,-1
16,Aruraba,Yuru,Aruraba.Yuru@upc.edu,F,24,Bulgaria,"2020-01-08 00:00:00",A,-1
17,Githel,Finan,Githel.Finan@upc.edu,M,36,Bulgaria,"2020-01-08 00:00:00",B,-1
18,Issorevor,Eralu,Issorevor.Eralu@upc.edu,M,23,Bulgaria,"2020-01-08 00:00:00",B,-1
19,Isliwen,Vanan,Isliwen.Vanan@upc.edu,F,28,Bulgaria,"2020-01-08 00:00:00",A,-1
20,Isiwe,Vararan,Isiwe.Vararan@upc.edu,F,31,Bulgaria,"2020-01-08 00:00:00",B,-1
21,Mayorawyn,Vanai,Mayorawyn.Vanai@upc.edu,F,20,Bulgaria,"2020-01-08 00:00:00",B,-1
22,Xanoth,Banalan,Xanoth.Banalan@upc.edu,F,31,Bulgaria,"2020-01-08 00:00:00",A,-1
23,Ulonik,Ianessath,Ulonik.Ianessath@upc.edu,M,24,Bulgaria,"2020-01-08 00:00:00",A,-1
24,Eravor,Erenar,Eravor.Erenar@upc.edu,M,25,Bulgaria,"2020-01-08 00:00:00",A,-1
25,Amoyagodor,Tsiressai,Amoyagodor.Tsiressai@upc.edu,M,26,Bulgaria,"2020-01-09 00:00:00",B,-1
26,Glawyn,Arai,Glawyn.Arai@upc.edu,F,24,Bulgaria,"2020-01-09 00:00:00",B,-1
27,Adoyagalaith,Ethenu,Adoyagalaith.Ethenu@upc.edu,F,32,Bulgaria,"2020-01-09 00:00:00",B,-1
28,Emelisera,Kurrorath,Emelisera.Kurrorath@upc.edu,F,31,Bulgaria,"2020-01-09 00:00:00",B,-1
29,Islyth,Jedath,Islyth.Jedath@upc.edu,F,30,Bulgaria,"2020-01-09 00:00:00",B,-1
30,Durisaldir,Aeranian,Durisaldir.Aeranian@upc.edu,M,30,Bulgaria,"2020-01-09 00:00:00",A,-1
31,Emakira,Karessath,Emakira.Karessath@upc.edu,F,30,Bulgaria,"2020-01-09 00:00:00",A,-1
32,Gilyrab,Eris,Gilyrab.Eris@upc.edu,M,29,Bulgaria,"2020-01-09 00:00:00",A,-1
33,Ivybeth,Vanor,Ivybeth.Vanor@upc.edu,F,25,Bulgaria,"2020-01-09 00:00:00",B,-1
34,Deladil,Tsiren,Deladil.Tsiren@upc.edu,M,35,Bulgaria,"2020-01-09 00:00:00",B,-1
35,Grinyblek,Manen,Grinyblek.Manen@upc.edu,M,35,Bulgaria,"2020-01-09 00:00:00",A,-1
36,Beluselaith,Yuren,Beluselaith.Yuren@upc.edu,F,32,Bulgaria,"2020-01-09 00:00:00",A,-1
37,Glororinne,Tsereo,Glororinne.Tsereo@upc.edu,F,30,Bulgaria,"2020-01-09 00:00:00",B,-1
38,Barutodir,Bethen,Barutodir.Bethen@upc.edu,M,35,Bulgaria,"2020-01-09 00:00:00",B,-1
39,Faloregokath,Beru,Faloregokath.Beru@upc.edu,M,40,Bulgaria,"2020-01-09 00:00:00",A,-1
40,Gomira,Iarralar,Gomira.Iarralar@upc.edu,F,32,Bulgaria,"2020-01-09 00:00:00",B,-1
41,Earogrim,Aerian,Earogrim.Aerian@upc.edu,M,30,Bulgaria,"2020-01-09 00:00:00",A,-1
42,Betheta,Dellian,Betheta.Dellian@upc.edu,F,48,Germany,"2020-01-09 00:00:00",A,-1
43,Mayerethra,Kurru,Mayerethra.Kurru@upc.edu,F,48,Germany,"2020-01-09 00:00:00",B,-1
44,Aereldatta,Aeronnu,Aereldatta.Aeronnu@upc.edu,F,31,Bulgaria,"2020-01-09 00:00:00",B,-1
45,Arunor,Darianeo,Arunor.Darianeo@upc.edu,F,20,Bulgaria,"2020-01-10 00:00:00",B,-1
46,Iveseba,Cutian,Iveseba.Cutian@upc.edu,F,25,Bulgaria,"2020-01-10 00:00:00",A,-1
47,Boreneg,Iananu,Boreneg.Iananu@upc.edu,M,25,Bulgaria,"2020-01-10 00:00:00",A,-1
48,Bethimivea,Cutelor,Bethimivea.Cutelor@upc.edu,F,39,Bulgaria,"2020-01-10 00:00:00",A,-1
49,Veloriamina,Marenian,Veloriamina.Marenian@upc.edu,F,32,Bulgaria,"2020-01-10 00:00:00",A,-1
50,Ivitha,Ethorath,Ivitha.Ethorath@upc.edu,F,25,Bulgaria,"2020-01-10 00:00:00",A,-1
51,Bethiba,Tsiror,Bethiba.Tsiror@upc.edu,F,33,Bulgaria,"2020-01-10 00:00:00",B,-1
52,Vorunor,Illath,Vorunor.Illath@upc.edu,F,20,Bulgaria,"2020-01-10 00:00:00",B,-1
53,Xerata,Arath,Xerata.Arath@upc.edu,F,29,Bulgaria,"2020-01-10 00:00:00",A,-1
54,Issesaran,Erath,Issesaran.Erath@upc.edu,M,26,Bulgaria,"2020-01-10 00:00:00",B,-1
55,Amekalthorin,Anai,Amekalthorin.Anai@upc.edu,M,27,Bulgaria,"2020-01-10 00:00:00",A,-1
56,Polayalle,Danaleo,Polayalle.Danaleo@upc.edu,F,27,Bulgaria,"2020-01-10 00:00:00",A,-1
57,Bular,Jedanai,Bular.Jedanai@upc.edu,M,32,Bulgaria,"2020-01-10 00:00:00",B,-1
58,Gunesabar,Danath,Gunesabar.Danath@upc.edu,M,27,Bulgaria,"2020-01-10 00:00:00",B,-1
59,CeNitira,Kurronnian,CeNitira.Kurronnian@upc.edu,F,28,Bulgaria,"2020-01-10 00:00:00",B,-1
60,Borimasta,Vanessen,Borimasta.Vanessen@upc.edu,M,24,Bulgaria,"2020-01-10 00:00:00",B,-1
61,Rhorogen,Dellenian,Rhorogen.Dellenian@upc.edu,M,28,Bulgaria,"2020-01-10 00:00:00",B,-1
62,Gunirain,Kurren,Gunirain.Kurren@upc.edu,M,42,Germany,"2020-01-10 00:00:00",A,-1
63,Isovea,Illian,Isovea.Illian@upc.edu,F,45,Germany,"2020-01-10 00:00:00",A,-1
